nombre,tipos,generacion,categoria,habilidades,peso,altura,ps,ataque,defensa,ataque_s,defensa_s,velocidad,foto
Bulbasaur,"Tipo planta,Tipo veneno",Primera generación,Semilla,Espesura,"6,9 kg","0,7 m",45,49,49,65,65,45,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/43/latest/20190406170624/Bulbasaur.png/200px-Bulbasaur.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/43/latest/20190406170624/Bulbasaur.png/200px-Bulbasaur.png"
Ivysaur,"Tipo planta,Tipo veneno",Primera generación,Semilla,Espesura,"13,0 kg","1,0 m",60,62,63,80,80,60,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/86/latest/20190406151903/Ivysaur.png/200px-Ivysaur.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/86/latest/20190406151903/Ivysaur.png/200px-Ivysaur.png"
Venusaur,"Tipo planta,Tipo veneno",Primera generación,Semilla,Espesura,"100,0 kg","2,0 m",80,82,83,100,100,80,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/be/latest/20160309230456/Venusaur.png/200px-Venusaur.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/be/latest/20160309230456/Venusaur.png/200px-Venusaur.png"
Charmander,Tipo fuego,Primera generación,Lagartija,Mar llamas,"8,5 kg","0,6 m",39,52,43,60,50,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/56/latest/20200307023245/Charmander.png/200px-Charmander.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/56/latest/20200307023245/Charmander.png/200px-Charmander.png"
Charmeleon,Tipo fuego,Primera generación,Llama,Mar llamas,"19,0 kg","1,1 m",58,64,58,80,65,80,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/fb/latest/20200411222755/Charmeleon.png/200px-Charmeleon.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/fb/latest/20200411222755/Charmeleon.png/200px-Charmeleon.png"
Charizard,"Tipo fuego,Tipo volador",Primera generación,Llama,Mar llamas,"90,5 kg","1,7 m",78,84,78,109,85,100,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/95/latest/20160817212623/Charizard.png/200px-Charizard.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/95/latest/20160817212623/Charizard.png/200px-Charizard.png"
Squirtle,Tipo agua,Primera generación,Tortuguita,Torrente,"9,0 kg","0,5 m",44,48,65,50,64,43,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e3/latest/20160309230820/Squirtle.png/200px-Squirtle.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e3/latest/20160309230820/Squirtle.png/200px-Squirtle.png"
Wartortle,Tipo agua,Primera generación,Tortuga,Torrente,"22,5 kg","1,0 m",59,63,80,65,80,58,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d7/latest/20200307022248/Wartortle.png/200px-Wartortle.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d7/latest/20200307022248/Wartortle.png/200px-Wartortle.png"
Blastoise,Tipo agua,Primera generación,Armazón,Torrente,"85,5 kg","1,6 m",79,83,100,85,105,78,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/41/latest/20200411222955/Blastoise.png/200px-Blastoise.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/41/latest/20200411222955/Blastoise.png/200px-Blastoise.png"
Caterpie,Tipo bicho,Primera generación,Gusano,Polvo escudo,"2,9 kg","0,3 m",45,30,35,20,20,45,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/05/latest/20230716211653/Caterpie.png/200px-Caterpie.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/05/latest/20230716211653/Caterpie.png/200px-Caterpie.png"
Metapod,Tipo bicho,Primera generación,Capullo,Mudar,"9,9 kg","0,7 m",50,20,55,25,25,30,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/6b/latest/20200307022334/Metapod.png/200px-Metapod.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/6b/latest/20200307022334/Metapod.png/200px-Metapod.png"
Butterfree,"Tipo bicho,Tipo volador",Primera generación,Mariposa,Ojo compuesto,"32,0 kg","1,1 m",60,45,50,90,80,70,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/96/latest/20160703192952/Butterfree.png/200px-Butterfree.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/96/latest/20160703192952/Butterfree.png/200px-Butterfree.png"
Weedle,"Tipo bicho,Tipo veneno",Primera generación,Oruga,Polvo escudo,"3,2 kg","0,3 m",40,35,30,20,20,50,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d6/latest/20200307022415/Weedle.png/200px-Weedle.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d6/latest/20200307022415/Weedle.png/200px-Weedle.png"
Kakuna,"Tipo bicho,Tipo veneno",Primera generación,Capullo,Mudar,"10,0 kg","0,6 m",45,25,50,25,25,35,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/63/latest/20200307022526/Kakuna.png/200px-Kakuna.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/63/latest/20200307022526/Kakuna.png/200px-Kakuna.png"
Beedrill,"Tipo bicho,Tipo veneno",Primera generación,Abeja Veneno,Enjambre,"29,5 kg","1,0 m",65,80,40,45,80,75,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/0d/latest/20200307022638/Beedrill.png/200px-Beedrill.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/0d/latest/20200307022638/Beedrill.png/200px-Beedrill.png"
Pidgey,"Tipo normal,Tipo volador",Primera generación,Pajarito,"Vista lince,Tumbos","1,8 kg","0,3 m",40,45,40,35,35,56,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b7/latest/20200307022723/Pidgey.png/200px-Pidgey.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b7/latest/20200307022723/Pidgey.png/200px-Pidgey.png"
Pidgeotto,"Tipo normal,Tipo volador",Primera generación,Pájaro,"Vista lince,Tumbos","30,0 kg","1,1 m",63,60,55,50,50,71,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/57/latest/20200307022804/Pidgeotto.png/200px-Pidgeotto.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/57/latest/20200307022804/Pidgeotto.png/200px-Pidgeotto.png"
Pidgeot,"Tipo normal,Tipo volador",Primera generación,Pájaro,"Vista lince,Tumbos","39,5 kg","1,5 m",83,80,75,70,70,91,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a9/latest/20141214190416/Pidgeot.png/200px-Pidgeot.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a9/latest/20141214190416/Pidgeot.png/200px-Pidgeot.png"
Rattata,Tipo normal,Primera generación,Ratón,"Fuga,Agallas","3,5 kg","0,3 m",30,56,35,25,35,72,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c4/latest/20200307022853/Rattata.png/200px-Rattata.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c4/latest/20200307022853/Rattata.png/200px-Rattata.png"
Raticate,Tipo normal,Primera generación,Ratón,"Fuga,Agallas","18,5 kg","0,7 m",55,81,60,50,70,97,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d6/latest/20200307022931/Raticate.png/200px-Raticate.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d6/latest/20200307022931/Raticate.png/200px-Raticate.png"
Spearow,"Tipo normal,Tipo volador",Primera generación,Pajarito,Vista lince,"2,0 kg","0,3 m",40,60,30,31,31,70,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a1/latest/20200307023331/Spearow.png/200px-Spearow.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a1/latest/20200307023331/Spearow.png/200px-Spearow.png"
Fearow,"Tipo normal,Tipo volador",Primera generación,Pico,Vista lince,"38,0 kg","1,2 m",65,90,65,61,61,100,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/41/latest/20200307023409/Fearow.png/200px-Fearow.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/41/latest/20200307023409/Fearow.png/200px-Fearow.png"
Ekans,Tipo veneno,Primera generación,Serpiente,"Intimidación,Mudar","6,9 kg","2,0 m",35,60,44,40,54,55,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/11/latest/20230716211828/Ekans.png/200px-Ekans.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/11/latest/20230716211828/Ekans.png/200px-Ekans.png"
Arbok,Tipo veneno,Primera generación,Cobra,"Intimidación,Mudar","65,0 kg","3,5 m",60,85,69,65,79,80,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4d/latest/20230716211756/Arbok.png/200px-Arbok.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4d/latest/20230716211756/Arbok.png/200px-Arbok.png"
Pikachu,Tipo eléctrico,Primera generación,Ratón,Electricidad estática,"6,0 kg","0,4 m",35,55,40,50,50,90,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/77/latest/20150621181250/Pikachu.png/200px-Pikachu.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/77/latest/20150621181250/Pikachu.png/200px-Pikachu.png"
Raichu,Tipo eléctrico,Primera generación,Ratón,Electricidad estática,"30,0 kg","0,8 m",60,90,55,90,80,110,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/34/latest/20160815220038/Raichu.png/200px-Raichu.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/34/latest/20160815220038/Raichu.png/200px-Raichu.png"
Sandshrew,Tipo tierra,Primera generación,Ratón,Velo arena,"12,0 kg","0,6 m",50,75,85,20,30,40,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/df/latest/20230620060651/Sandshrew.png/200px-Sandshrew.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/df/latest/20230620060651/Sandshrew.png/200px-Sandshrew.png"
Sandslash,Tipo tierra,Primera generación,Ratón,Velo arena,"29,5 kg","1,0 m",75,100,110,45,55,65,"https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/13/latest/20230620060657/Sandslash.png/200px-Sandslash.png,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/13/latest/20230620060657/Sandslash.png/200px-Sandslash.png"
